stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station
2579,,"Садовая",,55.27782,61.39639,,,
3115,,"Северная вахта",,55.28068,61.40385,,,
3132,,"Северная вахта",,55.28118,61.40323,,,
2584,,"Стан 2300",,55.28544,61.41410,,,
2585,,"Стан 2300",,55.28563,61.41426,,,
2574,,"Термическая",,55.27102,61.40280,,,
2575,,"Термическая",,55.27078,61.40314,,,
2588,,"Цех переработки лома",,55.29627,61.42138,,,
2589,,"Цех переработки лома",,55.29649,61.42139,,,
2596,,"ЦХП",,55.28801,61.44420,,,
2597,,"ЦХП",,55.28815,61.44418,,,
958,,"ЧМК",,55.26432,61.41070,,,
959,,"ЧМК",,55.26399,61.40996,,,
3140,,"Приборостроительная",,55.27142,61.40148,,,
1386,,"ул. Мира",,55.25550,61.37935,,,
3194,,"пос. Каштак",,55.31265,61.35253,,,
3195,,"пос. Каштак",,55.31234,61.35270,,,
3183,,"Сосновая Роща",,55.29987,61.35813,,,
3184,,"Сосновая Роща",,55.29965,61.35800,,,
3185,,"ул. Аргазинская",,55.30556,61.35480,,,
3186,,"ул. Аргазинская",,55.30566,61.35498,,,
1629,,"Сквер Победы",,55.26176,61.40287,,,
1693,,"Сквер Победы",,55.26141,61.40270,,,
2094,,"Спорт комплекс Метар",,55.24338,61.40382,,,
2086,,"ул. Аносова",,55.24635,61.40349,,,
2087,,"ул. Аносова",,55.24655,61.40364,,,
303,,"ул. Сталеваров",,55.25101,61.40353,,,
304,,"ул. Сталеваров",,55.25087,61.40306,,,
1687,,"ул. Сталеваров",,55.25125,61.40336,,,
1695,,"ул. Сталеваров",,55.25213,61.40312,,,
2104,,"Сад Строитель",,55.23979,61.41734,,,
2107,,"Сад Строитель",,55.23968,61.41765,,,
2101,,"ул. Винницкая",,55.24460,61.41144,,,
279,,"пос. Першино",,55.23774,61.37969,,,
280,,"пос. Першино",,55.23754,61.37951,,,
1365,,"пос. Першино",,55.23801,61.37984,,,
1366,,"пос. Першино",,55.23773,61.37863,,,
1829,,"Автопарк",,55.24426,61.36408,,,
1725,,"Столовая",,55.24517,61.36991,,,
1828,,"Столовая",,55.24508,61.36862,,,
293,,"Строительная",,55.25500,61.41130,,,
294,,"Строительная",,55.25475,61.41091,,,
1635,,"Строительная",,55.25468,61.41110,,,
1636,,"Строительная",,55.25464,61.41081,,,
299,,"ул. Жукова",,55.24908,61.39188,,,
300,,"ул. Жукова",,55.24890,61.39109,,,
1597,,"Аквариум",,55.26190,61.38414,,,
1598,,"Аквариум",,55.26189,61.38471,,,
1079,,"ДК Восток",,55.26440,61.40352,,,
8127,,"ДК Восток",,55.26451,61.40231,,,
1601,,"ул. 60 лет Октября",,55.26082,61.38104,,,
1390,,"Общежитие",,55.25827,61.38078,,,
1391,,"ул. Богдана Хмельницкого",,55.25832,61.37761,,,
8122,,"сад завода ЖБИ №1",,55.21626,61.45876,,,
1639,,"Автобаза №1",,55.25496,61.42138,,,
1640,,"Автобаза №1",,55.25496,61.42162,,,
255,,"Доменная",,55.25977,61.41849,,,
1637,,"Доменная",,55.25773,61.41780,,,
1638,,"Доменная",,55.25796,61.41763,,,
1382,,"Больница ЧМК",,55.25176,61.37961,,,
1383,,"Больница ЧМК",,55.25215,61.37993,,,
1393,,"ул. 60 лет Октября",,55.26048,61.37913,,,
1387,,"ул. Богдана Хмельницкого",,55.25801,61.37925,,,
1389,,"ул. Богдана Хмельницкого",,55.25853,61.37976,,,
1080,,"ДК Восток",,55.26418,61.40262,,,
1626,,"ДК Металлургов",,55.25820,61.40297,,,
1694,,"ДК Металлургов",,55.25754,61.40282,,,
1377,,"ДК Строитель",,55.24581,61.37720,,,
257,,"ДЦ Импульс",,55.24218,61.37945,,,
258,,"ДЦ Импульс",,55.24198,61.37966,,,
1081,,"ДЦ Импульс",,55.24183,61.37932,,,
1082,,"ДЦ Импульс",,55.24220,61.37928,,,
1071,,"Автопарк",,55.24422,61.36438,,,
253,,"ДК Строитель",,55.24668,61.37785,,,
254,,"ДК Строитель",,55.24684,61.37860,,,
1378,,"ДК Строитель",,55.24683,61.37726,,,
256,,"Доменная",,55.25884,61.41870,,,
3435,,"Баня",,55.06928,61.26505,,,
3436,,"Баня",,55.06937,61.26513,,,
3433,,"Клуб",,55.06594,61.26595,,,
3434,,"Клуб",,55.06605,61.26607,,,
3431,,"Сад Волна",,55.06542,61.27217,,,
3432,,"Сад Волна",,55.06532,61.27191,,,
3448,,"пос. Сосновка",,55.07448,61.26396,,,
2002,,"с. Кругленькое",,55.24500,61.52211,,,
2004,,"с. Кругленькое",,55.24511,61.52240,,,
4229,,"Сад Кристалл",,55.06337,61.37248,,,
4230,,"сад Кристалл",,55.06359,61.37227,,,
3458,,"7 - й км",,55.08113,61.39144,,,
3459,,"7 - й км",,55.08058,61.39152,,,
3460,,"Реабилитационный центр",,55.08525,61.39618,,,
3461,,"Реабилитационный центр",,55.08558,61.39723,,,
3462,,"Сад Колющенко",,55.09144,61.39996,,,
3463,,"Сад Колющенко",,55.09112,61.39944,,,
3466,,"Сады",,55.10722,61.40774,,,
3467,,"Сады",,55.10728,61.40823,,,
3464,,"Центральная усадьба",,55.09743,61.40224,,,
3465,,"Центральная усадьба",,55.09784,61.40299,,,
4228,,"Сад Прогресс",,55.06198,61.39194,,,
199,,"пл. Революции",,55.16041,61.40567,,,
239,,"Центральный рынок",,55.16081,61.42062,,,
3429,,"Племобъединение",,55.06389,61.28276,,,
3430,,"Племобъединение",,55.06375,61.28275,,,
3425,,"Сад  Медик",,55.07569,61.30616,,,
3426,,"Сад Медик",,55.07565,61.30586,,,
3423,,"Сад Юбилейный-1",,55.08171,61.31673,,,
3424,,"Сад Юбилейный-1",,55.08157,61.31675,,,
3421,,"Сад Юбилейный-2",,55.08836,61.32438,,,
3427,,"Таловка",,55.07285,61.30050,,,
3428,,"Таловка",,55.07285,61.30023,,,
3394,,"Поворот на Новосинеглазово",,55.06397,61.39773,,,
3395,,"Поворот на Новосинеглазово",,55.06394,61.39830,,,
764,,"Подстанция",,55.05239,61.41125,,,
768,,"Подстанция",,55.05173,61.41129,,,
761,,"пос. Исаково",,55.04260,61.42864,,,
769,,"пос. Исаково",,55.04227,61.42816,,,
3388,,"пос. Смолино",,55.07265,61.38841,,,
3389,,"пос. Смолино",,55.07289,61.38875,,,
3386,,"Путепровод",,55.08401,61.38814,,,
3387,,"Путепровод",,55.08414,61.38829,,,
3369,,"Рынок Привоз",,55.10999,61.38681,,,
3370,,"Рынок Привоз",,55.11081,61.38697,,,
4172,,"Сад Жилищник",,55.04103,61.43990,,,
3380,,"Сад Локомотив",,55.09793,61.38768,,,
3382,,"Сад Локомотив",,55.09805,61.38789,,,
3392,,"Сад Локомотив-2",,55.06887,61.39223,,,
3393,,"Сад Локомотив-2",,55.06917,61.39231,,,
3384,,"Сельхозтехника",,55.08808,61.38828,,,
3385,,"Сельхозтехника",,55.08826,61.38843,,,
3372,,"ЧПАТО-2",,55.10662,61.38729,,,
3373,,"ЧПАТО-2",,55.10645,61.38711,,,
2059,,"Дорожная больница",,55.14479,61.38684,,,
2060,,"Дорожная больница",,55.14442,61.38629,,,
961,,"Медгородок",,55.13638,61.37580,,,
960,,"Областная больница",,55.13598,61.37456,,,
2054,,"ул. Курчатова",,55.15000,61.38967,,,
2057,,"ул. Курчатова",,55.14926,61.38973,,,
2062,,"ул. Омская",,55.14264,61.38383,,,
2063,,"ул. Омская",,55.14217,61.38321,,,
2598,,"ул. Омская",,55.14236,61.38319,,,
2064,,"ул. Тарасова",,55.14019,61.38042,,,
2065,,"ул. Тарасова",,55.13978,61.37990,,,
3364,,"Кинотеатр Маяк",,55.12132,61.37815,,,
3365,,"Кинотеатр Маяк",,55.12145,61.37813,,,
3361,,"Кондитерская фабрика",,55.12394,61.37289,,,
3363,,"Кондитерская фабрика",,55.12396,61.37312,,,
3367,,"ЦРМ",,55.11907,61.38293,,,
3368,,"ЦРМ",,55.11893,61.38289,,,
2521,,"ДК Колющенко",,55.14164,61.39340,,,
2522,,"ДК Колющенко",,55.14141,61.39364,,,
2516,,"Дорожная больница",,55.14480,61.38629,,,
2517,,"Дорожная больница",,55.14447,61.38677,,,
3230,,"Завод им. Колющенко",,55.13743,61.40849,,,
2523,,"Магазин Губернский",,55.13974,61.39727,,,
2524,,"Магазин Губернский",,55.13819,61.40143,,,
